Subject Area Code,Subject Area,Offered by,Campus
ACCT,Accounting,"School of Acctng, Audit & Tax",Kensington
ACTL,Actuarial Studies,School of Risk & Actuarial St,Kensington
AERO,Aerospace Engineering,School of Mech & Manf. Eng,Kensington
AGSM,Management,AGSM MBA Programs,Kensington
ANAT,Anatomy,School of Biomedical Sciences,Kensington
ARCH,Architecture,Architectural Studies Program,Kensington
ARTS,Arts,"Faculty of Arts, Design & Arch",Kensington
ATOM,Nuclear Engineering,School of Mech & Manf. Eng,Kensington
ATSI,Indigenous Studies & Programs,Nura Gili Indigenous Programs,Kensington
AVIA,Aviation,School of Aviation,Kensington
AVIG,Aviation,School of Aviation,Kensington
BABS,Biotechnology & Biomolecular Sciences,Sch Biotech & Biomolecular Sci,Kensington
BEES,"Biological, Earth and Environmental Sciences","Sch Biol, Earth & Environ Sci",Kensington
BEIL,BE Interdisciplinary Learning,"Faculty of Arts, Design & Arch",Kensington
BENV,Built Environment,"Faculty of Arts, Design & Arch",Kensington
BINF,Bioinformatics,School of Computer Sci & Eng,Kensington
BIOC,Biochemistry,Sch Biotech & Biomolecular Sci,Kensington
BIOM,Biomedical Engineering,Grad. School of Biomedical Eng,Kensington
BIOP,Biophysics,School of Biomedical Sciences,Kensington
BIOS,Biological Science,"Sch Biol, Earth & Environ Sci",Kensington
BIOT,Biotechnology,Sch Biotech & Biomolecular Sci,Kensington
BLDG,Building,"Faculty of Arts, Design & Arch",Kensington
CDEV,Career Development,Div. Registrar & Deputy Princ,Kensington
CEIC,Chem Eng and Industrial Chemistry,School of Chemical Engineering,Kensington
CHEM,Chemistry,School of Chemistry,Kensington
CHEN,Chemical Engineering,School of Chemical Engineering,Kensington
CLIM,Climate Science,Faculty of Science,Kensington
CODE,Computational Design,"Faculty of Arts, Design & Arch",Kensington
COMD,Comparative Development,"Faculty of Arts, Design & Arch",Kensington
COMM,Commerce,UNSW Business School,Kensington
COMP,Computer Science,School of Computer Sci & Eng,Kensington
CONS,Construction Management,Building Construction Mgt Prog,Kensington
CRIM,Criminology,School of Social Sciences,Kensington
CRTV,Creative Practice,School of the Arts & Media,Kensington
